CircleName,RegionName,DivisionName,OfficeName,Pincode,OfficeType,Delivery,District,StateName,Latitude,Longitude
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,High Forest B.O,642127,BO,Delivery,COIMBATORE,TAMIL NADU,10.3431000,76.9930200
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Pannimade B.O,642127,BO,Delivery,COIMBATORE,TAMIL NADU,10.6572827,77.0106603
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Sirukundra B.O,642127,BO,Delivery,COIMBATORE,TAMIL NADU,10.3002800,76.9655540
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Vellonie B.O,642127,BO,Delivery,COIMBATORE,TAMIL NADU,10.6572817,77.0106613
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Kaliapuram B.O,642129,BO,Delivery,COIMBATORE,TAMIL NADU,10.5485907,76.9104375
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Mount Stuart B.O,642105,BO,Delivery,COIMBATORE,TAMIL NADU,10.6661000,76.9657500
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Waverly B.O,642105,BO,Delivery,COIMBATORE,TAMIL NADU,10.4123854,76.9880767
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Mappillaigoundenpudur B.O,642005,BO,Delivery,COIMBATORE,TAMIL NADU,10.7247000,76.9164000
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Ramapattinam B.O,642005,BO,Delivery,COIMBATORE,TAMIL NADU,10.7103000,76.9178000
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Thenkumarapalayam B.O,642107,BO,Delivery,COIMBATORE,TAMIL NADU,10.5911000,77.0963000
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Velliankadu BO,641104,BO,Delivery,COIMBATORE,TAMIL NADU,11.2163070,76.8204530
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Paduvampalli BO,641659,BO,Delivery,COIMBATORE,TAMIL NADU,11.1934570,77.1334340
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Nellithurai BO,641305,BO,Delivery,COIMBATORE,TAMIL NADU,11.2870310,76.8849980
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Periaputhur BO,641697,BO,Delivery,COIMBATORE,TAMIL NADU,11.2298640,77.0274280
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Vadavallikaramadai BO,641697,BO,Delivery,COIMBATORE,TAMIL NADU,11.2565140,77.0114930
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Irumborai BO,638459,BO,Delivery,COIMBATORE,TAMIL NADU,11.3518910,77.0949110
